MergeProcess,Env,0.5
CacheClearServer,PO,0.5
MBankStatementLine,X_C_Payment,3.0
MCommissionAmt,MCommissionDetail,0.5
MCStageElement,X_CM_CStage_Element,3.0
ScheduleUtil,CLogger,1.0
FileUpload,input,1.5
DistributionRun,X_T_DistributionRunDetail,11.0
MProjectType,MProjectTypePhase,0.5
MPrintColor,X_AD_PrintColor,2.0
TabCopy,CompiereUserException,2.0
MJournal,X_C_ValidCombination,19.5
MMedia,X_CM_MediaDeploy,1.0
MAllocationHdr,MBPartner,2.5
MMovementLine,X_M_Product,0.5
ImportLocator,MLocator,0.5
MOrderLine,X_C_Order,12.5
GwtServer,Msg,0.5
MRequisitionLine,Trx,0.5
MContainer,Ctx,0.5
VolumeTest,Login,1.0
PackageCreate,MShipper,0.5
DiscountSchemaReSeq,CompiereUserException,1.0
InvoiceNGL,InvoiceNGL,1.5
MNewsChannel,MNewsChannel,0.5
X_AD_PrintFormatItem,PO,2.0
ColumnEncryption,FieldType,1.0
MDiscountSchema,PO,5.0
CalloutProduction,GridTab,1.0
ElementAttributes,Attributes,2.0
ReportColumnSet_Copy,ProcessInfoParameter,1.0
MCost,MOrg,0.5
InOutGenerate,X_M_Product,1.0
h1,MouseEvents,2.0
InvoiceGenerate,MInvoice,2.0
MDocAction,MDocActionRule,3.5
MWFProcess,TimeUtil,0.5
MInvoicePaySchedule,PO,5.0
MatchInvDelete,PO,1.5
X_R_Source,PO,2.0
MPaymentProcessor,MPaymentProcessor,0.5
FinBalance,MFactAccumulation,0.5
VolumeTest,DB,1.0
meta,Printable,2.0
DistributionRun,X_C_DocType,4.5
ResultTableCellRenderer,CompierePLAF,1.0
GwtServer,UIWindowVO,1.5
BankStatementMatcher,BankStatementMatcherInterface,1.0
MPrintFormatItem,X_AD_PrintFormatItem,2.0
InvoiceNGL,CLogMgt,0.5
ImportConversionRate,SvrProcess,12.0
VolumeTest,X_C_Location,1.5
MGoal,MColorSchema,1.0
LeadRequest,MLead,0.5
X_C_TaxDeclaration,PO,2.0
MOrder,X_M_PriceList,1.0
X_M_Product_PO,PO,2.0
EntityTypeRegister,X_AD_System,1.5
MCStage,DB,1.5
CalloutInvoiceBatch,DisplayType,0.5
MAchievement,MMeasure,0.5
Ctx,Evaluatee,2.0
MResourceType,PO,1.0
CalloutTimeExpense,GridTab,2.0
RequestReOpen,CompiereUserException,0.5
MInvoiceSchedule,X_C_InvoiceSchedule,10.0
h1,MultiPartElement,2.0
GwtTest,Compiere,0.5
MCostDetail,MAcctSchema,0.5
RequisitionPOCreate,X_M_RequisitionLine,10.0
ProjectClose,PO,1.0
ViewImportFromDB,Env,1.0
ExpenseAPInvoice,MTimeExpense,1.0
WebUtil,option,1.5
MDunningLevel,DB,0.5
GridTable,NamePair,1.5
MediaDirectDeploy,Trx,0.5
MDunningRun,MBPartner,0.5
InvoiceCreateInOut,SvrProcess,3.0
CacheClearServer,MTemplate,0.5
MRequest,MResolution,0.5
CalloutOrder,MUser,0.5
X_M_Product_Category,PO,2.0
MScheduler,MSchedulerLog,0.5
MLandedCost,Msg,0.5
MInOutConfirm,X_C_InvoiceLine,0.5
GridTab,MLookup,0.5
ProjectPhaseGenOrder,MProjectPhase,0.5
MMovementConfirm,DB,0.5
MBPBankAccount,X_C_BPartner,1.5
X_M_MatchPO,PO,2.0
GridTab,X_AD_Role,0.5
ReplenishReport,MOrderLine,1.5
BankStatementPayment,ProcessInfoParameter,3.5
WebProjectDeploy,MWebProject,1.5
GridWindow,Ctx,1.5
ImportLocator,ProcessInfoParameter,2.0
VolumeTest,X_C_DocType,1.5
MInOut,X_M_Transaction,1.0
X_AD_WF_Process,PO,2.0
ReportColumnSet_Copy,MReportColumnSet,1.0
MRequisition,DocAction,2.0
OrderPOCreate,X_C_OrderLine,7.0
MAllocationHdr,X_C_BPartner,1.5
PaySelectionCreateFrom,DB,2.5
WindowCopy,SvrProcess,4.5
CopyFromProject,SvrProcess,4.0
MAllocationLine,DB,1.0
MBPartnerLocation,PO,4.0
FinBalance,X_C_AcctSchema,0.5
ProjectClose,SvrProcess,3.5
DunningRunCreate,DunningRunCreate,3.5
MTaxDeclarationAcct,PO,1.5
DistributionCreate,X_M_DistributionListLine,3.5
MWFEventAudit,DB,0.5
MOrder,Ctx,5.0
X_AD_Process_Para,PO,2.0
MReportColumnSet,MReportColumnSet,1.0
MActivity,PO,2.0
body,MultiPartElement,2.0
MProductPrice,PO,1.5
MStatus,CLogger,1.0
ComponentRemove,SvrProcess,2.0
TrialBalance,Language,1.0
InOutCreateConfirm,MInOut,0.5
EntityTypeRegister,SvrProcess,2.5
MExpenseType,X_S_ExpenseType,4.0
MTreeNodeCMT,X_AD_TreeNodeCMT,2.0
X_M_ReturnPolicy,PO,2.0
ImportAccount,DB,14.0
RfQResponseRank,MRfQResponseLineQty,2.0
MDocActionRule,PO,1.0
X_C_BP_Group,PO,2.0
MProductPO,DB,0.5
MAchievement,DB,0.5
MInterestArea,PO,1.5
LeadProject,MLead,0.5
MTax,TimeUtil,0.5
TranslationMgr,Util,1.5
MProjectTypeTask,X_C_Task,3.0
X_C_ProjectType,PO,2.0
AssetDelivery,X_AD_User,5.0
MPaymentAllocate,Ctx,2.5
PP_Optimal,CLogMgt,1.0
MMovementConfirm,X_M_Inventory,5.0
MAttributeSetInstance,X_M_AttributeSet,2.0
MCommissionAmt,X_C_CommissionLine,2.0
MSchedulerPara,PO,1.5
RoleMakeSysAdmin,ProcessInfoParameter,1.0
ImportReportLine,ProcessInfoParameter,2.0
PaymentProcessor,PaymentProcessor,1.5
ImportGLJournal,X_GL_JournalLine,4.0
MCommissionRun,X_C_CommissionAmt,0.5
SynchronizeTerminology,DB,2.5
MInOut,X_M_InOutConfirm,3.0
X_C_BankAccount,PO,2.0
MCStageElement,PO,1.5
X_C_UOM,PO,2.0
X_S_ExpenseType,PO,2.0
MPriceListVersion,TimeUtil,0.5
MAlert,X_AD_Alert,5.5
MAllocationHdr,CLogger,1.0
MChangeRequest,X_M_BOM,1.0
SessionEnd,X_AD_User,0.5
DefaultHandler,DTDHandler,2.0
MediaDirectDeploy,PO,1.0
MReportSource,X_PA_ReportSource,9.0
MForm,MFormAccess,0.5
TranslationMgr,TranslationHandler,2.0
MTree,X_AD_Tree,2.0
HtmlCode,GenericElement,2.0
html,MultiPartElement,2.0
DistributionRun,DB,2.0
GwtServer,ChangeVO,4.5
MPayment,MInvoice,2.0
MContainer,MTemplate,1.5
MProduct,X_C_AcctSchema,0.5
InvoiceGenerate,ProcessInfoParameter,6.0
MInventoryLine,X_M_Product,1.0
CalloutBankStatement,GridField,0.5
WebProjectDeploy,CacheHandler,3.5
MYear,MPeriod,0.5
WebUtil,script,1.5
BPartnerOrgUnLink,MBPartner,1.0
MWorkflow,MWFNode,6.5
MInventory,X_M_Storage,6.0
MRequestProcessorLog,X_R_RequestProcessor,0.5
DeliveryAccuracy,X_PA_SLA_Measure,2.5
MStore,PO,9.5
MJournal,X_C_Period,3.5
X_C_CommissionDetail,PO,2.0
MLead,X_AD_User,8.0
CacheResetWeb,GwtServer,0.5
MAssignmentSlot,MResourceAssignment,1.0
X_AD_System,PO,2.0
